epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3235.67,1.31526,1.01104,0.0137,0.46189,0.54917,0.46384,0.2418,1.73627,1.67828,0.02787,0.000359409,0.000359409,0.000359409
43,3501.3,1.28158,1.02661,0.01336,0.49109,0.51702,0.47838,0.25058,1.72531,1.66542,0.02716,0.000341077,0.000341077,0.000341077
44,3766.57,1.29426,1.00582,0.01372,0.46748,0.56932,0.48659,0.26489,1.6825,1.51683,0.02609,0.000322745,0.000322745,0.000322745
45,4031.71,1.25565,0.92599,0.01334,0.42505,0.57273,0.47423,0.25242,1.66685,1.69058,0.02584,0.000304414,0.000304414,0.000304414
46,4297.13,1.24751,0.95155,0.01301,0.5107,0.47664,0.46453,0.25687,1.65772,1.64547,0.02597,0.000286083,0.000286083,0.000286083
47,4563.35,1.21439,0.88057,0.01279,0.51868,0.52989,0.50195,0.27532,1.66864,1.61436,0.02621,0.000267751,0.000267751,0.000267751
48,4831.38,1.22885,0.90934,0.01267,0.44185,0.55951,0.48263,0.25388,1.70105,1.71595,0.02678,0.00024942,0.00024942,0.00024942
49,5098.57,1.20493,0.8818,0.01262,0.48512,0.55471,0.47137,0.25578,1.65219,1.71563,0.02509,0.000231088,0.000231088,0.000231088
50,5365.46,1.20207,0.87329,0.01221,0.49636,0.5563,0.49615,0.27432,1.65238,1.62873,0.02528,0.000212757,0.000212757,0.000212757
51,5630.55,1.09843,0.65214,0.01219,0.49373,0.55456,0.488,0.26184,1.67232,1.64752,0.02585,0.000194425,0.000194425,0.000194425
52,5895.56,1.07933,0.63686,0.01167,0.50131,0.50764,0.45774,0.24468,1.65937,1.72772,0.02553,0.000176094,0.000176094,0.000176094
53,6161.84,1.07657,0.61874,0.01157,0.52241,0.52642,0.48175,0.25712,1.64652,1.7057,0.0254,0.000157762,0.000157762,0.000157762
